"Bird","Sex","TrialNumber","medianTO","NumErrors"
918,"M",9,37,1
918,"M",7,37,11
918,"M",11,37,2
918,"M",4,37,0
918,"M",6,37,0
918,"M",2,37,2
918,"M",8,37,1
918,"M",5,37,0
918,"M",10,37,1
918,"M",12,37,0
920,"M",11,24.5,1
920,"M",7,24.5,1
920,"M",10,24.5,1
920,"M",5,24.5,0
920,"M",2,24.5,2
920,"M",9,24.5,2
920,"M",4,24.5,1
920,"M",6,24.5,1
920,"M",3,24.5,2
920,"M",8,24.5,1
920,"M",1,24.5,2
920,"M",12,24.5,1
933,"F",1,15,4
933,"F",10,15,3
933,"F",2,15,8
933,"F",6,15,1
933,"F",9,15,0
933,"F",12,15,0
933,"F",3,15,3
933,"F",11,15,1
933,"F",7,15,7
933,"F",5,15,0
933,"F",8,15,0
933,"F",4,15,4
940,"M",12,14,1
940,"M",10,14,1
940,"M",9,14,1
940,"M",11,14,1
940,"M",5,14,1
940,"M",8,14,3
940,"M",3,14,4
940,"M",1,14,6
940,"M",2,14,1
940,"M",4,14,1
940,"M",7,14,1
940,"M",6,14,0
943,"F",5,29,1
943,"F",1,29,7
943,"F",8,29,1
943,"F",12,29,3
943,"F",2,29,2
943,"F",9,29,1
943,"F",4,29,1
943,"F",6,29,2
943,"F",11,29,1
943,"F",3,29,1
943,"F",10,29,6
943,"F",7,29,0
949,"F",11,24,0
949,"F",9,24,2
949,"F",4,24,1
949,"F",5,24,5
949,"F",7,24,8
949,"F",6,24,3
949,"F",1,24,10
949,"F",8,24,1
949,"F",12,24,2
949,"F",3,24,2
949,"F",2,24,2
949,"F",10,24,2
958,"F",1,35,1
958,"F",12,35,1
958,"F",11,35,0
958,"F",4,35,0
958,"F",8,35,2
958,"F",2,35,0
958,"F",3,35,5
958,"F",10,35,0
958,"F",7,35,0
958,"F",5,35,0
958,"F",9,35,1
958,"F",6,35,1
963,"F",12,30,1
963,"F",2,30,1
963,"F",11,30,0
963,"F",9,30,3
963,"F",6,30,0
963,"F",10,30,1
963,"F",8,30,1
963,"F",5,30,0
963,"F",4,30,0
963,"F",1,30,2
963,"F",7,30,3
963,"F",3,30,1
974,"M",2,37.5,0
974,"M",9,37.5,1
974,"M",3,37.5,0
974,"M",11,37.5,3
974,"M",1,37.5,2
974,"M",5,37.5,0
974,"M",7,37.5,3
974,"M",10,37.5,1
974,"M",4,37.5,1
974,"M",8,37.5,0
974,"M",6,37.5,1
974,"M",12,37.5,1
989,"M",10,31,0
989,"M",1,31,0
989,"M",12,31,0
989,"M",6,31,0
989,"M",7,31,5
989,"M",11,31,0
989,"M",8,31,0
989,"M",9,31,0
989,"M",2,31,1
989,"M",3,31,2
989,"M",4,31,0
989,"M",5,31,3
993,"M",1,26.5,0
993,"M",2,26.5,0
993,"M",3,26.5,0
993,"M",4,26.5,1
993,"M",9,26.5,1
993,"M",10,26.5,0
993,"M",11,26.5,1
993,"M",7,26.5,1
993,"M",8,26.5,1
993,"M",12,26.5,1
993,"M",6,26.5,0
993,"M",5,26.5,0
1003,"M",5,30,2
1003,"M",6,30,2
1003,"M",9,30,1
1003,"M",10,30,0
1003,"M",11,30,0
1003,"M",1,30,0
1003,"M",2,30,1
1003,"M",3,30,3
1003,"M",4,30,4
1003,"M",7,30,2
1003,"M",8,30,0
1003,"M",12,30,0
1005,"F",8,39,1
1005,"F",10,39,0
1005,"F",11,39,0
1005,"F",1,39,1
1005,"F",2,39,1
1005,"F",3,39,2
1005,"F",4,39,0
1005,"F",5,39,0
1005,"F",6,39,2
1005,"F",7,39,1
1005,"F",12,39,1
1005,"F",9,39,0
1006,"F",9,14,0
1006,"F",10,14,2
1006,"F",11,14,0
1006,"F",6,14,7
1006,"F",1,14,0
1006,"F",12,14,0
1006,"F",4,14,0
1006,"F",5,14,0
1006,"F",2,14,2
1006,"F",3,14,3
1006,"F",8,14,0
1006,"F",7,14,1
1008,"M",11,19,0
1008,"M",12,19,0
1008,"M",1,19,1
1008,"M",2,19,0
1008,"M",3,19,0
1008,"M",4,19,1
1008,"M",5,19,0
1008,"M",6,19,3
1008,"M",7,19,1
1008,"M",8,19,1
1008,"M",9,19,1
1008,"M",10,19,0
